c1,c2,stim
over,exertion,overexertion
under,exposure,underexposure
over,exposure,overexposure
under,exposures,underexposures
rabbit,eye,rabbiteye
dead,eye,deadeye
green,eye,greeneye
golden,eye,goldeneye
wall,eye,walleye
shut,eye,shuteye
red,eye,redeye
buck,eye,buckeye
moon,eye,mooneye
pink,eye,pinkeye
big,eye,bigeye
buck,eyes,buckeyes
black,face,blackface
coal,face,coalface
white,face,whiteface
pale,face,paleface
bold,face,boldface
type,face,typeface
stone,face,stoneface
type,faces,typefaces
pale,faces,palefaces
coal,faces,coalfaces
book,fair,bookfair
fun,fair,funfair
fun,fairs,funfairs
night,fall,nightfall
water,fall,waterfall
pit,fall,pitfall
short,fall,shortfall
snow,fall,snowfall
rain,fall,rainfall
ice,fall,icefall
foot,fall,footfall
wind,fall,windfall
even,fall,evenfall
land,fall,landfall
down,fall,downfall
prat,fall,pratfall
land,falls,landfalls
short,falls,shortfalls
rain,falls,rainfalls
pit,falls,pitfalls
prat,falls,pratfalls
foot,falls,footfalls
wind,falls,windfalls
down,falls,downfalls
snow,falls,snowfalls
water,falls,waterfalls
war,fare,warfare
field,fare,fieldfare
car,fare,carfare
air,fare,airfare
air,fares,airfares
sea,faring,seafaring
way,faring,wayfaring
space,faring,spacefaring
break,fast,breakfast
head,fast,headfast
hold,fast,holdfast
break,fasts,breakfasts
butter,fat,butterfat
god,father,godfather
grand,father,grandfather
house,father,housefather
grand,fathers,grandfathers
god,fathers,godfathers
foot,fault,footfault
bean,feast,beanfeast
bean,feasts,beanfeasts
gay,feather,gayfeather
chicken,feed,chickenfeed
bird,feeder,birdfeeder
spoon,feeding,spoonfeeding
over,feeding,overfeeding
club,feet,clubfeet
web,feet,webfeet
splay,feet,splayfeet
crow,feet,crowfeet
work,fellow,workfellow
bed,fellow,bedfellow
play,fellow,playfellow
school,fellow,schoolfellow
school,fellows,schoolfellows
bed,fellows,bedfellows
play,fellows,playfellows
under,felt,underfelt
lip,fern,lipfern
wood,fern,woodfern
gab,fest,gabfest
slug,fest,slugfest
gab,fests,gabfests
grain,field,grainfield
hay,field,hayfield
coal,field,coalfield
out,field,outfield
right,field,rightfield
gold,field,goldfield
corn,field,cornfield
brick,field,brickfield
snow,field,snowfield
left,field,leftfield
mid,field,midfield
back,field,backfield
gas,field,gasfield
center,field,centerfield
oil,field,oilfield
mine,field,minefield
air,field,airfield
wheat,field,wheatfield
battle,field,battlefield
center,fielder,centerfielder
back,fields,backfields
coal,fields,coalfields
battle,fields,battlefields
corn,fields,cornfields
air,fields,airfields
snow,fields,snowfields
gold,fields,goldfields
oil,fields,oilfields
mine,fields,minefields
cock,fight,cockfight
dog,fight,dogfight
gun,fight,gunfight
bun,fight,bunfight
fist,fight,fistfight
bull,fight,bullfight
prize,fight,prizefight
fire,fighter,firefighter
bull,fighter,bullfighter
dog,fighter,dogfighter
prize,fighter,prizefighter
bull,fighters,bullfighters
prize,fighters,prizefighters
fire,fighters,firefighters
cock,fighting,cockfighting
bull,fighting,bullfighting
cock,fights,cockfights
prize,fights,prizefights
gun,fights,gunfights
bull,fights,bullfights
fist,fights,fistfights
dog,fights,dogfights
nail,file,nailfile
land,fill,landfill
land,fills,landfills
cling,film,clingfilm
thread,fin,threadfin
lobe,fin,lobefin
bow,fin,bowfin
blue,fin,bluefin
yellow,fin,yellowfin
soup,fin,soupfin
tail,fin,tailfin
quarter,final,quarterfinal
quarter,finals,quarterfinals
gold,finch,goldfinch
haw,finch,hawfinch
bull,finch,bullfinch
grass,finch,grassfinch
bull,finches,bullfinches
gold,finches,goldfinches
word,finder,wordfinder
water,finder,waterfinder
range,finder,rangefinder
view,finder,viewfinder
fault,finder,faultfinder
path,finder,pathfinder
path,finders,pathfinders
range,finders,rangefinders
fault,finders,faultfinders
view,finders,viewfinders
fault,finding,faultfinding
lady,finger,ladyfinger
lady,fingers,ladyfingers
butter,fingers,butterfingers
cross,fire,crossfire
hell,fire,hellfire
spit,fire,spitfire
camp,fire,campfire
wild,fire,wildfire
bale,fire,balefire
cook,fire,cookfire
back,fire,backfire
drum,fire,drumfire
gun,fire,gunfire
shell,fire,shellfire
grass,fire,grassfire
cross,fires,crossfires
back,fires,backfires
wild,fires,wildfires
camp,fires,campfires
spit,fires,spitfires
hog,fish,hogfish
bill,fish,billfish
angler,fish,anglerfish
sail,fish,sailfish
sun,fish,sunfish
archer,fish,archerfish
black,fish,blackfish
lion,fish,lionfish
queen,fish,queenfish
lantern,fish,lanternfish
cardinal,fish,cardinalfish
saw,fish,sawfish
snipe,fish,snipefish
tongue,fish,tonguefish
numb,fish,numbfish
may,fish,mayfish
amber,fish,amberfish
balloon,fish,balloonfish
devil,fish,devilfish
spear,fish,spearfish
surf,fish,surffish
cutlass,fish,cutlassfish
weak,fish,weakfish
head,fish,headfish
hag,fish,hagfish
flame,fish,flamefish
cat,fish,catfish
soldier,fish,soldierfish
damsel,fish,damselfish
pipe,fish,pipefish
sucker,fish,suckerfish
stock,fish,stockfish
soap,fish,soapfish
globe,fish,globefish
dog,fish,dogfish
ground,fish,groundfish
leather,fish,leatherfish
oil,fish,oilfish
drift,fish,driftfish
butterfly,fish,butterflyfish
star,fish,starfish
cramp,fish,crampfish
flag,fish,flagfish
barrel,fish,barrelfish
lancet,fish,lancetfish
doctor,fish,doctorfish
craw,fish,crawfish
pilot,fish,pilotfish
harvest,fish,harvestfish
conch,fish,conchfish
stone,fish,stonefish
cling,fish,clingfish
guitar,fish,guitarfish
shrimp,fish,shrimpfish
cow,fish,cowfish
dolphin,fish,dolphinfish
lady,fish,ladyfish
alligator,fish,alligatorfish
squirrel,fish,squirrelfish
gold,fish,goldfish
parrot,fish,parrotfish
ghost,fish,ghostfish
porcupine,fish,porcupinefish
dollar,fish,dollarfish
trunk,fish,trunkfish
frog,fish,frogfish
king,fish,kingfish
lung,fish,lungfish
goose,fish,goosefish
sword,fish,swordfish
pig,fish,pigfish
scorpion,fish,scorpionfish
needle,fish,needlefish
oar,fish,oarfish
bat,fish,batfish
pin,fish,pinfish
rock,fish,rockfish
boar,fish,boarfish
burr,fish,burrfish
flat,fish,flatfish
cuttle,fish,cuttlefish
tile,fish,tilefish
surgeon,fish,surgeonfish
blow,fish,blowfish
skillet,fish,skilletfish
white,fish,whitefish
file,fish,filefish
shell,fish,shellfish
jelly,fish,jellyfish
mosquito,fish,mosquitofish
monk,fish,monkfish
puffer,fish,pufferfish
moon,fish,moonfish
rudder,fish,rudderfish
toad,fish,toadfish
gar,fish,garfish
rabbit,fish,rabbitfish
jaw,fish,jawfish
sand,fish,sandfish
paddle,fish,paddlefish
buffalo,fish,buffalofish
ribbon,fish,ribbonfish
mutton,fish,muttonfish
red,fish,redfish
thread,fish,threadfish
angel,fish,angelfish
wolf,fish,wolffish
pearl,fish,pearlfish
box,fish,boxfish
spade,fish,spadefish
horse,fish,horsefish
wreck,fish,wreckfish
snake,fish,snakefish
silver,fish,silverfish
cigar,fish,cigarfish
butter,fish,butterfish
pork,fish,porkfish
trumpet,fish,trumpetfish
rose,fish,rosefish
trigger,fish,triggerfish
snail,fish,snailfish
drum,fish,drumfish
cornet,fish,cornetfish
goat,fish,goatfish
lizard,fish,lizardfish
lump,fish,lumpfish
convict,fish,convictfish
cod,fish,codfish
blue,fish,bluefish
deal,fish,dealfish
oyster,fish,oysterfish
bone,fish,bonefish
pan,fish,panfish
king,fisher,kingfisher
king,fishers,kingfishers
blue,fishes,bluefishes
dog,fishes,dogfishes
lung,fishes,lungfishes
sport,fishing,sportfishing
out,fitter,outfitter
steam,fitter,steamfitter
steam,fitters,steamfitters
pipe,fitting,pipefitting
wheat,flake,wheatflake
snow,flake,snowflake
snow,flakes,snowflakes
ear,flap,earflap
news,flash,newsflash
news,flashes,newsflashes
hip,flask,hipflask
toad,flax,toadflax
goose,flesh,gooseflesh
horse,flesh,horseflesh
high,flier,highflier
may,flies,mayflies
green,flies,greenflies
butter,flies,butterflies
gad,flies,gadflies
house,flies,houseflies
horse,flies,horseflies
damsel,flies,damselflies
fire,flies,fireflies
blow,flies,blowflies
dragon,flies,dragonflies
saw,flies,sawflies
over,flight,overflight
space,flight,spaceflight
space,flights,spaceflights
over,flights,overflights
skin,flint,skinflint
gun,flint,gunflint
skin,flints,skinflints
bob,float,bobfloat
flash,flood,flashflood
candy,floss,candyfloss
corn,flour,cornflour
air,flow,airflow
back,flow,backflow
over,flow,overflow
work,flow,workflow
flame,flower,flameflower
spoon,flower,spoonflower
mist,flower,mistflower
cuckoo,flower,cuckooflower
bell,flower,bellflower
swan,flower,swanflower
corn,flower,cornflower
may,flower,mayflower
lyre,flower,lyreflower
wall,flower,wallflower
shad,flower,shadflower
globe,flower,globeflower
shell,flower,shellflower
snail,flower,snailflower
cheese,flower,cheeseflower
helmet,flower,helmetflower
day,flower,dayflower
spider,flower,spiderflower
butter,flower,butterflower
sun,flower,sunflower
wild,flower,wildflower
moon,flower,moonflower
wind,flower,windflower
tongue,flower,tongueflower
foam,flower,foamflower
honey,flower,honeyflower
wax,flower,waxflower
finger,flower,fingerflower
cone,flower,coneflower
twin,flower,twinflower
cup,flower,cupflower
wand,flower,wandflower
star,flower,starflower
tail,flower,tailflower
chigger,flower,chiggerflower
passion,flower,passionflower
straw,flower,strawflower
wind,flowers,windflowers
wild,flowers,wildflowers
passion,flowers,passionflowers
sun,flowers,sunflowers
corn,flowers,cornflowers
wall,flowers,wallflowers
may,flowers,mayflowers
back,flowing,backflowing
over,flows,overflows
white,fly,whitefly
day,fly,dayfly
house,fly,housefly
black,fly,blackfly
blow,fly,blowfly
butter,fly,butterfly
dobson,fly,dobsonfly
fire,fly,firefly
stone,fly,stonefly
sponge,fly,spongefly
gad,fly,gadfly
saw,fly,sawfly
catch,fly,catchfly
bot,fly,botfly
chalcid,fly,chalcidfly
green,fly,greenfly
shad,fly,shadfly
rain,fly,rainfly
may,fly,mayfly
sand,fly,sandfly
damsel,fly,damselfly
dragon,fly,dragonfly
snake,fly,snakefly
horse,fly,horsefly
alder,fly,alderfly
shoo,fly,shoofly
gall,fly,gallfly
high,flyer,highflyer
feather,foil,featherfoil
rock,foil,rockfoil
air,foil,airfoil
tin,foil,tinfoil
air,foils,airfoils
bill,fold,billfold
sheep,fold,sheepfold
pin,fold,pinfold
center,fold,centerfold
centre,fold,centrefold
blind,fold,blindfold
gate,fold,gatefold
sheep,folds,sheepfolds
bill,folds,billfolds
blind,folds,blindfolds
center,folds,centerfolds
kin,folk,kinfolk
country,folk,countryfolk
towns,folk,townsfolk
home,folk,homefolk
kins,folk,kinsfolk
gentle,folk,gentlefolk
gentle,folks,gentlefolks
kin,folks,kinfolks
sea,food,seafood
pet,food,petfood
tom,fool,tomfool
cocks,foot,cocksfoot
claw,foot,clawfoot
crow,foot,crowfoot
hind,foot,hindfoot
hot,foot,hotfoot
colts,foot,coltsfoot
flat,foot,flatfoot
goats,foot,goatsfoot
club,foot,clubfoot
tender,foot,tenderfoot
splay,foot,splayfoot
spade,foot,spadefoot
web,foot,webfoot
goose,foot,goosefoot
tender,foots,tenderfoots
hot,foots,hotfoots
air,force,airforce
work,force,workforce
work,forces,workforces
where,fore,wherefore
rain,forest,rainforest
hay,fork,hayfork
table,fork,tablefork
pitch,fork,pitchfork
pitch,forks,pitchforks
wave,form,waveform
plat,forms,platforms
wave,forms,waveforms
piano,forte,pianoforte
piano,fortes,pianofortes
wild,fowl,wildfowl
moor,fowl,moorfowl
heath,fowl,heathfowl
sea,fowl,seafowl
pea,fowl,peafowl
water,fowl,waterfowl
pea,fowls,peafowls
bed,frame,bedframe
under,frame,underframe
main,frame,mainframe
door,frame,doorframe
air,frame,airframe
main,frames,mainframes
air,frames,airframes
girl,friend,girlfriend
boy,friend,boyfriend
school,friend,schoolfriend
boy,friends,boyfriends
girl,friends,girlfriends
bull,frog,bullfrog
leap,frog,leapfrog
leap,frogs,leapfrogs
bull,frogs,bullfrogs
ocean,front,oceanfront
water,front,waterfront
lake,front,lakefront
beach,front,beachfront
wave,front,wavefront
battle,front,battlefront
shirt,front,shirtfront
sea,front,seafront
store,front,storefront
shop,front,shopfront
ocean,fronts,oceanfronts
sea,fronts,seafronts
shirt,fronts,shirtfronts
store,fronts,storefronts
shop,fronts,shopfronts
battle,fronts,battlefronts
water,fronts,waterfronts
lake,fronts,lakefronts
hoar,frost,hoarfrost
bread,fruit,breadfruit
egg,fruit,eggfruit
grape,fruit,grapefruit
jack,fruit,jackfruit
bread,fruits,breadfruits
grape,fruits,grapefruits
mother,fucker,motherfucker
hedge,fund,hedgefund
under,fur,underfur
green,gage,greengage
top,gallant,topgallant
moor,game,moorgame
ball,game,ballgame
end,game,endgame
ball,games,ballgames
back,gammon,backgammon
stop,gap,stopgap
stop,gaps,stopgaps
under,garment,undergarment
over,garment,overgarment
under,garments,undergarments
tear,gas,teargas
tear,gases,teargases
tail,gate,tailgate
sluice,gate,sluicegate
flood,gate,floodgate
toll,gate,tollgate
tail,gates,tailgates
toll,gates,tollgates
flood,gates,floodgates
toll,gatherer,tollgatherer
wool,gatherer,woolgatherer
wool,gathering,woolgathering
nose,gay,nosegay
nose,gays,nosegays
star,gazer,stargazer
star,gazers,stargazers
star,gazing,stargazing
foot,gear,footgear
head,gear,headgear
fish,gig,fishgig
blue,gill,bluegill
blue,gills,bluegills
cow,girl,cowgirl
show,girl,showgirl
home,girl,homegirl
sales,girl,salesgirl
day,girl,daygirl
school,girl,schoolgirl
cow,girls,cowgirls
sales,girls,salesgirls
school,girls,schoolgirls
show,girls,showgirls
alms,giver,almsgiver
law,giver,lawgiver
care,giver,caregiver
law,givers,lawgivers
care,givers,caregivers
alms,giving,almsgiving
thanks,giving,thanksgiving
thanks,givings,thanksgivings
sand,glass,sandglass
sun,glass,sunglass
hour,glass,hourglass
spy,glass,spyglass
fibre,glass,fibreglass
eye,glass,eyeglass
fiber,glass,fiberglass
weather,glass,weatherglass
wine,glass,wineglass
spy,glasses,spyglasses
eye,glasses,eyeglasses
sun,glasses,sunglasses
hour,glasses,hourglasses
wine,glasses,wineglasses
para,gliding,paragliding
vain,glory,vainglory
fox,glove,foxglove
fox,gloves,foxgloves
after,glow,afterglow
after,glows,afterglows
scape,goat,scapegoat
scape,goats,scapegoats
hob,goblin,hobgoblin
church,goer,churchgoer
play,goer,playgoer
theatre,goer,theatregoer
theater,goer,theatergoer
opera,goer,operagoer
party,goer,partygoer
movie,goer,moviegoer
chapel,goer,chapelgoer
theater,goers,theatergoers
church,goers,churchgoers
movie,goers,moviegoers
opera,goers,operagoers
play,goers,playgoers
scatter,good,scattergood
dry,goods,drygoods
night,gown,nightgown
night,gowns,nightgowns
scape,grace,scapegrace
scape,graces,scapegraces
under,grad,undergrad
pay,grade,paygrade
down,grade,downgrade
down,grades,downgrades
under,grads,undergrads
under,graduate,undergraduate
under,graduates,undergraduates
wood,grain,woodgrain
wood,graining,woodgraining
cable,grams,cablegrams
holly,grape,hollygrape
radiophoto,graph,radiophotograph
view,graph,viewgraph
shadow,graph,shadowgraph
cheat,grass,cheatgrass
yard,grass,yardgrass
rice,grass,ricegrass
cord,grass,cordgrass
crab,grass,crabgrass
sea,grass,seagrass
brome,grass,bromegrass
bristle,grass,bristlegrass
quack,grass,quackgrass
bunch,grass,bunchgrass
rye,grass,ryegrass
witch,grass,witchgrass
silk,grass,silkgrass
blue,grass,bluegrass
knot,grass,knotgrass
meadow,grass,meadowgrass
eel,grass,eelgrass
tall,grass,tallgrass
lemon,grass,lemongrass
bur,grass,burgrass
nut,grass,nutgrass
rib,grass,ribgrass
mid,grass,midgrass
short,grass,shortgrass
wheat,grass,wheatgrass
land,grave,landgrave
ever,green,evergreen
winter,green,wintergreen
ever,greens,evergreens
hair,grip,hairgrip
hand,grip,handgrip
green,grocer,greengrocer
green,grocers,greengrocers
green,grocery,greengrocery
bride,groom,bridegroom
bride,grooms,bridegrooms
play,ground,playground
bed,ground,bedground
camp,ground,campground
fore,ground,foreground
under,ground,underground
fair,ground,fairground
back,ground,background
battle,ground,battleground
back,grounder,backgrounder
back,grounders,backgrounders
back,grounding,backgrounding
battle,grounds,battlegrounds
camp,grounds,campgrounds
under,grounds,undergrounds
back,grounds,backgrounds
play,grounds,playgrounds
fair,grounds,fairgrounds
sand,grouse,sandgrouse
man,groves,mangroves
under,growth,undergrowth
over,growth,overgrowth
money,grubber,moneygrubber
coast,guard,coastguard
black,guard,blackguard
body,guard,bodyguard
fire,guard,fireguard
arm,guard,armguard
rear,guard,rearguard
safe,guard,safeguard
van,guard,vanguard
life,guard,lifeguard
mud,guard,mudguard
fire,guards,fireguards
safe,guards,safeguards
rear,guards,rearguards
body,guards,bodyguards
mud,guards,mudguards
life,guards,lifeguards
black,guards,blackguards
coast,guards,coastguards
coast,guardsman,coastguardsman
house,guest,houseguest
wave,guide,waveguide
wave,guides,waveguides
blood,guilt,bloodguilt
sea,gull,seagull
sea,gulls,seagulls
flash,gun,flashgun
shot,gun,shotgun
blow,gun,blowgun
scatter,gun,scattergun
air,gun,airgun
hand,gun,handgun
pop,gun,popgun
staple,gun,staplegun
flash,guns,flashguns
blow,guns,blowguns
pop,guns,popguns
hand,guns,handguns
shot,guns,shotguns
pinch,gut,pinchgut
hind,gut,hindgut
rot,gut,rotgut
cat,gut,catgut
nights,hades,nightshades
suns,hades,sunshades
lamps,hades,lampshades
cranks,haft,crankshaft
cams,haft,camshaft
mines,haft,mineshaft
drives,haft,driveshaft
cranks,hafts,crankshafts
cams,hafts,camshafts
horse,hair,horsehair
maiden,hair,maidenhair
wire,hair,wirehair
camel,hair,camelhair
wire,hairs,wirehairs
cross,hairs,crosshairs
eggs,hake,eggshake
milks,hake,milkshake
heads,hake,headshake
hands,hake,handshake
guild,hall,guildhall
gild,hall,gildhall
guild,halls,guildhalls
claw,hammer,clawhammer
jack,hammer,jackhammer
sledge,hammer,sledgehammer
yellow,hammer,yellowhammer
trip,hammer,triphammer
yellow,hammers,yellowhammers
jack,hammers,jackhammers
sledge,hammers,sledgehammers
long,hand,longhand
cow,hand,cowhand
dock,hand,dockhand
field,hand,fieldhand
short,hand,shorthand
stage,hand,stagehand
deck,hand,deckhand
farm,hand,farmhand
back,hand,backhand
door,handle,doorhandle
pan,handle,panhandle
pan,handler,panhandler
pan,handlers,panhandlers
door,handles,doorhandles
pan,handles,panhandles
deck,hands,deckhands
cow,hands,cowhands
short,hands,shorthands
back,hands,backhands
farm,hands,farmhands
stage,hands,stagehands
over,hang,overhang
strap,hanger,straphanger
cliff,hanger,cliffhanger
paper,hanger,paperhanger
cliff,hangers,cliffhangers
paper,hangers,paperhangers
paper,hanging,paperhanging
over,hangs,overhangs
greens,hank,greenshank
hinds,hank,hindshank
reds,hank,redshank
spindles,hanks,spindleshanks
die,hard,diehard
blow,hard,blowhard
fool,hardiness,foolhardiness
ploughs,hare,ploughshare
plows,hare,plowshare
plows,hares,plowshares
cards,harp,cardsharp
cards,harper,cardsharper
cards,harpers,cardsharpers
cards,harps,cardsharps
rest,harrow,restharrow
sun,hat,sunhat
nut,hatch,nuthatch
cross,hatch,crosshatch
cross,hatches,crosshatches
nut,hatches,nuthatches
sun,hats,sunhats
over,haul,overhaul
over,hauls,overhauls
draws,have,drawshave
spokes,have,spokeshave
night,hawk,nighthawk
night,hawks,nighthawks
bullet,head,bullethead
stag,head,staghead
skin,head,skinhead
fat,head,fathead
thick,head,thickhead
bull,head,bullhead
trail,head,trailhead
block,head,blockhead
fiddle,head,fiddlehead
well,head,wellhead
sore,head,sorehead
big,head,bighead
rail,head,railhead
addle,head,addlehead
dead,head,deadhead
maiden,head,maidenhead
bridge,head,bridgehead
logger,head,loggerhead
black,head,blackhead
flood,head,floodhead
beach,head,beachhead
figure,head,figurehead
air,head,airhead
mast,head,masthead
bonnet,head,bonnethead
fore,head,forehead
flat,head,flathead
metal,head,metalhead
hot,head,hothead
egg,head,egghead
hammer,head,hammerhead
over,head,overhead
swell,head,swellhead
copper,head,copperhead
round,head,roundhead
bald,head,baldhead
letter,head,letterhead
spread,head,spreadhead
pit,head,pithead
hogs,head,hogshead
step,head,stephead
sap,head,saphead
arrow,head,arrowhead
cross,head,crosshead
stair,head,stairhead
bone,head,bonehead
club,head,clubhead
flint,head,flinthead
shit,head,shithead
bow,head,bowhead
horse,head,horsehead
fountain,head,fountainhead
war,head,warhead
knuckle,head,knucklehead
bulk,head,bulkhead
mutton,head,muttonhead
snake,head,snakehead
spear,head,spearhead
dragon,head,dragonhead
shovel,head,shovelhead
thunder,head,thunderhead
red,head,redhead
drum,head,drumhead
white,head,whitehead
blue,head,bluehead
pin,head,pinhead
dick,head,dickhead
pot,head,pothead
turtle,head,turtlehead
nail,head,nailhead
shower,head,showerhead
sleepy,head,sleepyhead
tow,head,towhead
fuck,head,fuckhead
red,header,redheader
double,header,doubleheader
double,headers,doubleheaders
cross,heading,crossheading
dead,heads,deadheads
black,heads,blackheads
bulk,heads,bulkheads
figure,heads,figureheads
logger,heads,loggerheads
beach,heads,beachheads
war,heads,warheads
spear,heads,spearheads
block,heads,blockheads
knuckle,heads,knuckleheads
bridge,heads,bridgeheads
bull,heads,bullheads
skin,heads,skinheads
well,heads,wellheads
air,heads,airheads
big,heads,bigheads
hot,heads,hotheads
fat,heads,fatheads
letter,heads,letterheads
white,heads,whiteheads
fountain,heads,fountainheads
egg,heads,eggheads
thunder,heads,thunderheads
over,heads,overheads
copper,heads,copperheads
hard,heads,hardheads
sore,heads,soreheads
pin,heads,pinheads
bone,heads,boneheads
swell,heads,swellheads
hogs,heads,hogsheads
arrow,heads,arrowheads
mast,heads,mastheads
pot,heads,potheads
red,heads,redheads
tow,heads,towheads
sleepy,heads,sleepyheads
pit,heads,pitheads
hammer,heads,hammerheads
maiden,heads,maidenheads
scrap,heap,scrapheap
muck,heap,muckheap
slag,heap,slagheap
scrap,heaps,scrapheaps
black,heart,blackheart
sweet,heart,sweetheart
sweet,hearts,sweethearts
over,heating,overheating
moons,hell,moonshell
eggs,hell,eggshell
cockles,hell,cockleshell
seas,hell,seashell
nuts,hell,nutshell
tortoises,hell,tortoiseshell
clams,hell,clamshell
bombs,hell,bombshell
lamps,hell,lampshell
bombs,hells,bombshells
seas,hells,seashells
eggs,hells,eggshells
nuts,hells,nutshells
cockles,hells,cockleshells
tortoises,hells,tortoiseshells
books,helves,bookshelves
pea,hen,peahen
gray,hen,grayhen
grey,hen,greyhen
swamp,hen,swamphen
moor,hen,moorhen
moor,hens,moorhens
pea,hens,peahens
cow,herb,cowherb
willow,herb,willowherb
pot,herb,potherb
pot,herbs,potherbs
goat,herd,goatherd
cow,herd,cowherd
swine,herd,swineherd
pots,herd,potsherd
sheep,herder,sheepherder
sheep,herders,sheepherders
swine,herds,swineherds
goat,herds,goatherds
cow,herds,cowherds
now,here,nowhere
wood,hewer,woodhewer
cow,hide,cowhide
horse,hide,horsehide
raw,hide,rawhide
cow,hides,cowhides
hitch,hiker,hitchhiker
hitch,hikers,hitchhikers
dung,hill,dunghill
down,hill,downhill
foot,hill,foothill
muck,hill,muckhill
ant,hill,anthill
mole,hill,molehill
foot,hills,foothills
down,hills,downhills
mole,hills,molehills
ant,hills,anthills
dung,hills,dunghills
wars,hip,warship
spaces,hip,spaceship
lights,hip,lightship
battles,hip,battleship
rose,hip,rosehip
airs,hip,airship
steams,hip,steamship
stars,hip,starship
flags,hip,flagship
troops,hip,troopship
spaces,hips,spaceships
steams,hips,steamships
flags,hips,flagships
battles,hips,battleships
troops,hips,troopships
wars,hips,warships
lights,hips,lightships
airs,hips,airships
horses,hit,horseshit
dogs,hit,dogshit
chickens,hit,chickenshit
bulls,hit,bullshit
bee,hive,beehive
bee,hives,beehives
afters,hock,aftershock
holly,hock,hollyhock
afters,hocks,aftershocks
holly,hocks,hollyhocks
snows,hoe,snowshoe
gums,hoe,gumshoe
back,hoe,backhoe
overs,hoe,overshoe
horses,hoe,horseshoe
horses,hoer,horseshoer
back,hoes,backhoes
overs,hoes,overshoes
horses,hoes,horseshoes
snows,hoes,snowshoes
gums,hoes,gumshoes
road,hog,roadhog
ground,hog,groundhog
hedge,hog,hedgehog
wart,hog,warthog
wart,hogs,warthogs
ground,hogs,groundhogs
hedge,hogs,hedgehogs
copy,hold,copyhold
stoke,hold,stokehold
toe,hold,toehold
choke,hold,chokehold
hand,hold,handhold
foot,hold,foothold
strangle,hold,stranglehold
strong,hold,stronghold
lease,hold,leasehold
house,hold,household
throttle,hold,throttlehold
safe,hold,safehold
free,hold,freehold
lease,holder,leaseholder
land,holder,landholder
house,holder,householder
pot,holder,potholder
card,holder,cardholder
with,holder,withholder
free,holder,freeholder
bond,holder,bondholder
share,holder,shareholder
policy,holder,policyholder
job,holder,jobholder
stock,holder,stockholder
place,holder,placeholder
copy,holder,copyholder
stake,holder,stakeholder
small,holder,smallholder
slave,holder,slaveholder
office,holder,officeholder
free,holders,freeholders
land,holders,landholders
small,holders,smallholders
office,holders,officeholders
stock,holders,stockholders
bond,holders,bondholders
job,holders,jobholders
pot,holders,potholders
share,holders,shareholders
stake,holders,stakeholders
slave,holders,slaveholders
place,holders,placeholders
lease,holders,leaseholders
house,holders,householders
policy,holders,policyholders
slave,holding,slaveholding
land,holding,landholding
small,holding,smallholding
stock,holding,stockholding
share,holding,shareholding
small,holdings,smallholdings
share,holdings,shareholdings
stock,holdings,stockholdings
land,holdings,landholdings
free,holds,freeholds
lease,holds,leaseholds
hand,holds,handholds
strangle,holds,strangleholds
foot,holds,footholds
toe,holds,toeholds
strong,holds,strongholds
house,holds,households
worm,hole,wormhole
bung,hole,bunghole
post,hole,posthole
fox,hole,foxhole
arm,hole,armhole
sink,hole,sinkhole
stoke,hole,stokehole
cubby,hole,cubbyhole
rat,hole,rathole
plug,hole,plughole
spy,hole,spyhole
button,hole,buttonhole
thumb,hole,thumbhole
pigeon,hole,pigeonhole
knot,hole,knothole
loop,hole,loophole
cake,hole,cakehole
man,hole,manhole
pin,hole,pinhole
pot,hole,pothole
pest,hole,pesthole
ass,hole,asshole
peep,hole,peephole
coal,hole,coalhole
eye,hole,eyehole
vent,hole,venthole
blow,hole,blowhole
key,hole,keyhole
chuck,hole,chuckhole
arse,hole,arsehole
hell,hole,hellhole
port,hole,porthole
arm,holes,armholes
chuck,holes,chuckholes
hell,holes,hellholes
bung,holes,bungholes
port,holes,portholes
button,holes,buttonholes
man,holes,manholes
pin,holes,pinholes
key,holes,keyholes
blow,holes,blowholes
peep,holes,peepholes
loop,holes,loopholes
knot,holes,knotholes
pigeon,holes,pigeonholes
worm,holes,wormholes
pot,holes,potholes
fox,holes,foxholes
cubby,holes,cubbyholes
sink,holes,sinkholes
plug,holes,plugholes
pigeon,holing,pigeonholing
monks,hood,monkshood
child,hoods,childhoods
boy,hoods,boyhoods
sky,hook,skyhook
fish,hook,fishhook
bill,hook,billhook
tenter,hook,tenterhook
pot,hook,pothook
rave,hook,ravehook
button,hook,buttonhook
bill,hooks,billhooks
fish,hooks,fishhooks
pot,hooks,pothooks
tenter,hooks,tenterhooks
overs,hoot,overshoot
craps,hoot,crapshoot
troubles,hooter,troubleshooter
sharps,hooter,sharpshooter
traps,hooter,trapshooter
craps,hooter,crapshooter
craps,hooters,crapshooters
sharps,hooters,sharpshooters
troubles,hooters,troubleshooters
traps,hooting,trapshooting
overs,hoots,overshoots
slops,hop,slopshop
car,hop,carhop
works,hop,workshop
sweats,hop,sweatshop
toys,hop,toyshop
teas,hop,teashop
books,hop,bookshop
bell,hop,bellhop
pawns,hop,pawnshop
barbers,hop,barbershop
bakes,hop,bakeshop
thrifts,hop,thriftshop
plant,hopper,planthopper
frog,hopper,froghopper
leaf,hopper,leafhopper
grass,hopper,grasshopper
sand,hopper,sandhopper
clod,hopper,clodhopper
